web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,image,item_page_title,item_page_link,title,name_1,status,streetAddress,city, zip,about_1,telephone_2,hours,license_type,reviews_count,worstRating,bestRating,reviewCount,about,telephone,Description,image_3,image_2
"1775084796-1","https://www.findweedny.com/?view=list&sort=date-added-desc","","Etain Kingston","Kingston, NY","","4.5","Today: 10AM-8PM","Open","","","https://www.findweedny.com/images/logos/fluent.jpg","Etain KingstonOpenMedical50 dealsKingston, NY4.5Today: 10AM-8PM","https://www.findweedny.com/dispensary/mm0403d","Etain Kingston","Etain KingstonLegal Name: Etain, LLC.","Active","445 State Route 28","Kingston, NY 12401","AboutMore details about this dispensary coming soon.License:MM0403DView OCM RecordLicense Type: Adult-Use Registered Organization Dispensary LicenseOpened: January 6, 2016Photos(1)Photos from Google Maps. Click to view full size.","100%Very Busy","Live Busy-ness100%Very BusyBusier than usualUpdated in real-time from Google Maps","Adult-Use Registered Organization Dispensary License","January 6, 2016","(1)","4.5","","More details about this dispensary coming soon.","+1 845-237-2536","Sun","https://www.findweedny.com/images/photos/MM0403D_0.jpg","https://www.findweedny.com/images/logos/fluent.jpg"
"1775084800-2","https://www.findweedny.com/?view=list&sort=date-added-desc","","Curaleaf NY, LLC","Newburgh, NY","(1614)","4.6(1614)","Today: 8 AM – 9 PM (est.)","Open","","","https://www.findweedny.com/images/logos/curaleaf.svg","Curaleaf NY, LLCOpenMedicalNewburgh, NY4.6(1614)Today: 8 AM – 9 PM (est.)","https://www.findweedny.com/dispensary/mm1002d","Curaleaf NY, LLC","Curaleaf NY, LLC","Active","8 North Plank Rd","Newburgh, NY 12550","AboutMore details about this dispensary coming soon.License:MM1002DView OCM RecordLicense Type: Adult-Use Registered Organization Dispensary LicenseOpened: March 28, 2018Previous IDs: MM1002D, OCM-XROD-23-000001Photos(1)Photos from Google Maps. Click to view full size.","77%Very Busy","Live Busy-ness77%Very BusyA little busyUpdated in real-time from Google Maps","Adult-Use Registered Organization Dispensary License","March 28, 2018","(1)","4.6","(1614 reviews)","More details about this dispensary coming soon.","+1 845-762-0110","Sun","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepWgrnPqeEtWAnh-BTto-LJsI1JYMn0qicZG7SEC4P2y8eR5h5TD2y5BUVIv-h4NEci0tCDkESPzHHwfxK9gQYh00xsxJn51Cne9cOaTukWHtP0j7L__3yGszB11xsUY_OSKWsylIYklOc=w800-h500-k-no","https://www.findweedny.com/images/logos/curaleaf.svg"
"1775084807-3","https://www.findweedny.com/?view=list&sort=date-added-desc","","Curaleaf Queens","Forest Hills, NY","","4.4","Today: 9AM-8PM","Open","","","https://www.findweedny.com/images/logos/curaleaf.svg","Curaleaf QueensOpenMedicalForest Hills, NY4.4Today: 9AM-8PM","https://www.findweedny.com/dispensary/mm1004d","Curaleaf Queens","Curaleaf QueensLegal Name: Curaleaf NY, LLC","Active","107-18 70th Rd","Forest Hills, NY 11375","AboutMore details about this dispensary coming soon.License:MM1004DView OCM RecordLicense Type: Adult-Use Registered Organization Dispensary LicenseOpened: July 2, 2018Photos(1)Photos from Google Maps. Click to view full size.","75%Very Busy","Live Busy-ness75%Very BusyA little busyUpdated in real-time from Google Maps","Adult-Use Registered Organization Dispensary License","July 2, 2018","(1)","4.4","","More details about this dispensary coming soon.","+1 646-968-2872","Sun","https://www.findweedny.com/images/photos/MM1004D_0.jpg","https://www.findweedny.com/images/logos/curaleaf.svg"
"1775084818-4","https://www.findweedny.com/?view=list&sort=date-added-desc","","Etain Manhattan","New York, NY","","4.6","Today: 10AM-8PM","Open","","","https://www.findweedny.com/images/logos/fluent.jpg","Etain ManhattanOpenMedical50 dealsNew York, NY4.6Today: 10AM-8PM","https://www.findweedny.com/dispensary/mm0407d","Etain Manhattan","Etain ManhattanLegal Name: Etain, LLC.","Active","242 East 58th St","New York, NY 10022","AboutMore details about this dispensary coming soon.License:MM0407DView OCM RecordLicense Type: Adult-Use Registered Organization Dispensary LicenseOpened: July 26, 2020Photos(1)Photos from Google Maps. Click to view full size.","100%Very Busy","Live Busy-ness100%Very BusyBusier than usualUpdated in real-time from Google Maps","Adult-Use Registered Organization Dispensary License","July 26, 2020","(1)","4.6","","More details about this dispensary coming soon.","+1 646-504-8990","Sun","https://www.findweedny.com/images/photos/MM0407D_0.jpg","https://www.findweedny.com/images/logos/fluent.jpg"
"1775084821-5","https://www.findweedny.com/?view=list&sort=date-added-desc","","Housing Works Cannabis, LLC","New York, NY","(872)","4.4(872)","Today: 9AM-9PM","Open","","","https://www.findweedny.com/images/logos/OCM-CAURD-22-000001.png","Housing Works Cannabis, LLCOpenNew York, NY4.4(872)Today: 9AM-9PM","https://www.findweedny.com/dispensary/ocm-caurd-22-000001","Housing Works Cannabis, LLC","Housing Works Cannabis, LLCLegal Name: HOUSING WORKS CANNABIS, LLC","Active","750 Broadway","New York, NY 10003","AboutMore details about this dispensary coming soon.License:OCM-CAURD-22-000001View OCM RecordLicense Type: Adult-Use Conditional Retail Dispensary LicenseLicense Issued: December 23, 2022Opened: December 28, 2022Previous IDs: OCM-CAURD-22-000001-750-broadway-new-york, ocm-caurd-22-000001-750-broadway-new-yorkPhotos(1)Photos from Google Maps. Click to view full size.","70%Usually Busy","Live Busy-ness70%Usually BusyA little busyUpdated in real-time from Google Maps","Adult-Use Conditional Retail Dispensary License","December 23, 2022","(1)","4.4","(872 reviews)","More details about this dispensary coming soon.","+1 646-669-7238","Sun","https://lh3.googleusercontent.com/p/AF1QipODfYMybng-cNxFIPQIzQJDASjl7ePXGt5ZpNxq=w800-h500-k-no","https://www.findweedny.com/images/logos/OCM-CAURD-22-000001.png"
"1775084824-6","https://www.findweedny.com/?view=list&sort=date-added-desc","","Just Breathe","Binghamton, NY","(277)","4.2(277)","Today: 10AM-8PM","Open","","","https://www.findweedny.com/images/logos/just-breathe-finger-lakes.png","Just BreatheOpenBinghamton, NY4.2(277)Today: 10AM-8PM","https://www.findweedny.com/dispensary/ocm-caurd-23-000004","Just Breathe","Just BreatheLegal Name: On Point Cannabis, Inc.","Active","75 Court St","Binghamton, NY 13901","AboutNew York State Licensed Retail Dispensary:
Premium Flower | Vape Cartridges | Concentrates | Edibles| Drinks | Pre-RollsLicense:OCM-CAURD-23-000004View OCM RecordLicense Type: Adult-Use Conditional Retail Dispensary LicenseLicense Issued: February 7, 2023Opened: February 6, 2023Photos(1)Photos from Google Maps. Click to view full size.","100%Very Busy","Live Busy-ness100%Very BusyBusier than usualUpdated in real-time from Google Maps","Adult-Use Conditional Retail Dispensary License","February 7, 2023","(1)","4.2","(277 reviews)","","+1 607-677-0073","New York State Licensed Retail Dispensary:
Premium Flower | Vape Cartridges | Concentrates | Edibles| Drinks | Pre-Rolls","https://www.findweedny.com/images/photos/OCM-CAURD-23-000004_0.jpg","https://www.findweedny.com/images/logos/just-breathe-finger-lakes.png"
"1775084827-7","https://www.findweedny.com/?view=list&sort=date-added-desc","","The Travel Agency Union Square","New York, NY","(1622)","4.7(1622)","Today: 9AM-11PM","Open","","","https://www.findweedny.com/images/logos/the-travel-agency.svg","The Travel Agency Union SquareOpenNew York, NY4.7(1622)Today: 9AM-11PM","https://www.findweedny.com/dispensary/ocm-caurd-23-000003","The Travel Agency Union Square","The Travel Agency Union SquareLegal Name: The Doe Store LLC","Active","835 Broadway","New York, NY 10003","AboutMore details about this dispensary coming soon.License:OCM-CAURD-23-000003View OCM RecordLicense Type: Adult-Use Conditional Retail Dispensary LicenseLicense Issued: February 3, 2023Opened: February 12, 2023Photos(1)Photos from Google Maps. Click to view full size.","33%A Little Busy","Live Busy-ness33%A Little BusyNot too busyUpdated in real-time from Google Maps","Adult-Use Conditional Retail Dispensary License","February 3, 2023","(1)","4.7","(1622 reviews)","More details about this dispensary coming soon.","+1 646-777-7420","Sun","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerYxTvD8vOtr6HYLcyW1AORMnL2sng6VyIQZx7uL70vj70GmtqFPdEhQRS-5GIgudus8Da0vY1SeDKjsGMBdsqJdjCi0xFqrr_a50E7O8ywhz3AXrnIhQ6Ypr0GUzx-Gpc4X916sw2lmkex=w800-h500-k-no","https://www.findweedny.com/images/logos/the-travel-agency.svg"
"1775084829-8","https://www.findweedny.com/?view=list&sort=date-added-desc","","Upstate Canna Co","Schenectady, NY","(615)","4.2(615)","Today: 9AM-11PM","Open","","","https://www.findweedny.com/images/logos/upstate-cbd.jpg","Upstate Canna CoOpenSchenectady, NY4.2(615)Today: 9AM-11PM","https://www.findweedny.com/dispensary/ocm-caurd-23-000005","Upstate Canna Co","Upstate Canna CoLegal Name: D-Andrews LLC","Active","1613 Union St","Schenectady, NY 12309","AboutMore details about this dispensary coming soon.License:OCM-CAURD-23-000005View OCM RecordLicense Type: Adult-Use Conditional Retail Dispensary LicenseLicense Issued: March 1, 2023Opened: April 1, 2023Photos(1)Photos from Google Maps. Click to view full size.","5%Not Busy","Live Busy-ness5%Not BusyLess busy than usualUpdated in real-time from Google Maps","Adult-Use Conditional Retail Dispensary License","March 1, 2023","(1)","4.2","(615 reviews)","More details about this dispensary coming soon.","+1 518-280-4289","Sun","https://www.findweedny.com/images/photos/OCM-CAURD-23-000005_0.jpg","https://www.findweedny.com/images/logos/upstate-cbd.jpg"
"1775084832-9","https://www.findweedny.com/?view=list&sort=date-added-desc","","Gotham Bowery","New York, NY","","","Today: 10AM-10PM","Open","","","https://www.findweedny.com/images/logos/gotham-bowery.png","Gotham BoweryOpenNew York, NYToday: 10AM-10PM","https://www.findweedny.com/dispensary/ocm-caurd-23-000009","Gotham Bowery","Gotham BoweryLegal Name: GOTHAM CAURD LLC","Active","3 E 3rd St","New York, NY 10003","AboutMore details about this dispensary coming soon.License:OCM-CAURD-23-000009View OCM RecordLicense Type: Adult-Use Conditional Retail Dispensary LicenseLicense Issued: May 4, 2023Opened: May 10, 2023Photos(1)Photos from Google Maps. Click to view full size.","72%Usually Busy","Live Busy-ness72%Usually BusyBusier than usualUpdated in real-time from Google Maps","Adult-Use Conditional Retail Dispensary License","May 4, 2023","No reviews yet","","","More details about this dispensary coming soon.","+1 646-217-4544","Sun","https://www.findweedny.com/images/photos/OCM-CAURD-23-000009_0.jpg","https://www.findweedny.com/images/logos/gotham-bowery.png"
"1775084835-10","https://www.findweedny.com/?view=list&sort=date-added-desc","","RISE","Rochester, NY","","4.8","Today: 9AM-9PM","Open","","","https://www.findweedny.com/images/logos/rise.png","RISEOpenMedicalRochester, NY4.8Today: 9AM-9PM","https://www.findweedny.com/dispensary/mm0704d","RISE","RISELegal Name: Fiorello Pharmaceuticals, Inc.","Active","556 Jefferson Rd","Rochester, NY 14623","AboutMore details about this dispensary coming soon.License:MM0704DView OCM RecordLicense Type: Adult-Use Registered Organization Dispensary LicenseOpened: May 24, 2023Previous IDs: OCM-XROD-23-000003Photos(1)Photos from Google Maps. Click to view full size.","Business HoursOpen Nowsunday:9AM-9PMmonday:9AM-9PMtuesday:9AM-9PMwednesday (Today):9AM-9PMthursday:9AM-9PMfriday:9AM-9PMsaturday:9AM-9PM","","Adult-Use Registered Organization Dispensary License","May 24, 2023","(1)","4.8","","More details about this dispensary coming soon.","+1 585-242-0203","Sun","https://lh3.googleusercontent.com/gps-cs-s/AHVAwequl7ktOEQNfNatGOqriMiqoasubpK27vTnrXYdCPCuhpwmRqbBbARUvfPAGkfw8iHz1HubEtcgTZO7KaO00VAm-xdAT_FHWzgJTB4RC8jvh6byReJwTIH3XY6SOXjvQOXWbbUI=w800-h500-k-no","https://www.findweedny.com/images/logos/rise.png"
